Timestamp,Deduplication ID,Time Seconds,Tenant ID,Tenant Name,Application ID,Application Name,Device Profile ID,Device Profile Name,Device Name,Dev EUI,Dev Addr,Dr,fPort,Data Hex,F Count,rxInfo Gateway ID,rxInfo Uplink ID,rxInfo RSSI,rxInfo SNR,rxInfo Context,txInfo Frequency,Modulation-lora txInfo Bandwidth,Modulation-lora Spreading Factor,Modulation-lora Code Rate
1713861524,c189659a-39a2-4890-a72b-7bb63bf365be,1713861524,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 401,0001000000000191,02000189,4,1,d9,76,0001000000000006,2307,-101,15.800000190734863,b'{_O>',868300000,125000,8,1
1713861525,308dc0d4-383e-482f-a0bb-9921a3f734c3,1713861525,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 335,000100000000014f,02000147,1,1,94de0407a8d1a3876ae92622d1fee2c6753905873fcc6075,2,0001000000000005,17941,-131,-14.300000190734863,b'{k\xd8\xe3',868300000,125000,11,1
1713861525,308dc0d4-383e-482f-a0bb-9921a3f734c3,1713861525,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 335,000100000000014f,02000147,1,1,94de0407a8d1a3876ae92622d1fee2c6753905873fcc6075,2,0001000000000001,61293,-114,3.4000000953674316,b'{k\xd8\x82',868300000,125000,11,1
1713861525,308dc0d4-383e-482f-a0bb-9921a3f734c3,1713861525,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 335,000100000000014f,02000147,1,1,94de0407a8d1a3876ae92622d1fee2c6753905873fcc6075,2,0001000000000003,46123,-129,-11.600000381469727,b'{k\xd8\xad',868300000,125000,11,1
1713861525,308dc0d4-383e-482f-a0bb-9921a3f734c3,1713861525,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 335,000100000000014f,02000147,1,1,94de0407a8d1a3876ae92622d1fee2c6753905873fcc6075,2,0001000000000002,23307,-132,-14.699999809265137,b'{k\xd9\x0f',868300000,125000,11,1
1713861526,1bff366d-6eed-49da-a463-23bc9ead70c3,1713861526,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 62,000100000000003e,02000036,4,1,8e,76,0001000000000001,57309,-124,-7.0,b'{p\xb2G',867900000,125000,8,1
1713861526,1bff366d-6eed-49da-a463-23bc9ead70c3,1713861526,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 62,000100000000003e,02000036,4,1,8e,76,0001000000000004,8773,-123,-5.800000190734863,b'{p\xb27',867900000,125000,8,1
1713861526,1bff366d-6eed-49da-a463-23bc9ead70c3,1713861526,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 62,000100000000003e,02000036,4,1,8e,76,0001000000000005,45557,-117,0.20000000298023224,b'{p\xb2\x10',867900000,125000,8,1
1713861526,22c11045-a6c3-4601-8b51-cac0625fc7ce,1713861526,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 152,0001000000000098,02000090,5,1,a1,76,0001000000000002,48246,-122,-5.5,b'{s\xaa\xe9',867100000,125000,7,1
1713861526,22c11045-a6c3-4601-8b51-cac0625fc7ce,1713861526,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 152,0001000000000098,02000090,5,1,a1,76,0001000000000001,16928,-123,-5.599999904632568,b'{s\xaa\x9a',867100000,125000,7,1
