timestamp,free,inodes_free,inodes_total,inodes_used,inodes_used_percent,total,used,used_percent,name,device,fstype,host,mode,path
1713538170,18049056768,,,,,33315221504,6622543872,19.87843265939223,mem,,,3d870aa917c0,,
1713538180,17999757312,,,,,33315221504,6668505088,20.016391267875388,mem,,,3d870aa917c0,,
1713538190,18074976256,,,,,33315221504,6599790592,19.81013570991144,mem,,,3d870aa917c0,,
1713538200,18094776320,,,,,33315221504,6583984128,19.76269053834594,mem,,,3d870aa917c0,,
1713538210,18167787520,,,,,33315221504,6520111104,19.570967292584747,mem,,,3d870aa917c0,,
1713538220,18144473088,,,,,33315221504,6524706816,19.584761923965026,mem,,,3d870aa917c0,,
1713538230,18126598144,,,,,33315221504,6551375872,19.66481258788391,mem,,,3d870aa917c0,,
1713538240,18106986496,,,,,33315221504,6570057728,19.72088862507237,mem,,,3d870aa917c0,,
1713538250,18077822976,,,,,33315221504,6565728256,19.70789314791644,mem,,,3d870aa917c0,,
1713538260,18123530240,,,,,33315221504,6549573632,19.659402928519096,mem,,,3d870aa917c0,,
